user_id,age,gender,country,post_id,post_type,post_category,likes,comments,shares,watch_time_sec,impression_count,posted_at,follower_count,is_verified,device_type,sentiment,hashtags,engagement_rate,hashtag_count,Engagement_Score,Hashtag_counts,hour,watch_time_hours,day_name
25795,43,Female,Brazil,496713,Image,Fitness,7011,354,1157,5726,44650,2022-12-17,81734,False,Mobile,Negative,#foodie #travel #love,0.190862262,3,8522,3,0,1.5905555555555555,Saturday
10860,33,Male,Brazil,157326,Reel,Food,11750,2606,1807,5947,80216,2023-06-02,5963,False,Mobile,Negative,#fitness,0.201493468,1,16163,1,0,1.6519444444444444,Friday
86820,32,Female,UK,109864,Text,Food,4862,344,955,6946,44858,2023-05-07,501783,False,Tablet,Positive,#foodie,0.137344509,1,6161,1,0,1.9294444444444445,Sunday
64886,51,Other,France,848877,Text,Fitness,5350,1083,1049,229,70455,2023-02-12,480212,False,Mobile,Negative,#music #foodie #fun,0.106195444,3,7482,3,0,0.0636111111111111,Sunday
92386,16,Other,Canada,174310,Video,Tech,12535,1790,99,1427,24893,2023-09-16,684761,False,Desktop,Positive,#fitness,0.579440003,1,14424,1,0,0.3963888888888889,Saturday
47194,25,Male,Japan,481598,Video,Travel,11703,2276,1465,6287,96327,2022-04-15,519759,True,Tablet,Negative,#music,0.16032888,1,15444,1,0,1.746388888888889,Friday
97498,57,Female,Canada,343415,Image,Travel,9611,146,424,1699,68446,2023-12-20,698739,False,Desktop,Neutral,#travel #music #fitness,0.148744996,3,10181,3,0,0.47194444444444444,Wednesday
54131,54,Female,UK,907449,Image,Fashion,10105,2379,1897,5650,36283,2023-07-06,615809,True,Desktop,Negative,#music #fun #fitness,0.533913954,3,14381,3,0,1.5694444444444444,Thursday
70263,62,Female,Australia,495037,Video,Lifestyle,14106,2480,1053,3969,87972,2022-11-16,452146,False,Tablet,Neutral,#lifestyle #love,0.200506979,2,17639,2,0,1.1025,Wednesday
26023,61,Male,France,674625,Image,Education,355,398,1668,6211,54685,2022-02-15,557276,False,Tablet,Negative,#tech,0.044271738,1,2421,1,0,1.7252777777777777,Tuesday
77221,64,Male,Canada,183557,Text,Music,8432,2883,495,2145,89917,2022-09-27,413874,False,Desktop,Positive,#fitness,0.13134335,1,11810,1,0,0.5958333333333333,Tuesday
69735,48,Male,India,599900,Image,Food,17238,2646,997,4272,48199,2022-02-06,455102,False,Desktop,Positive,#lifestyle #love,0.433224756,2,20881,2,0,1.1866666666666668,Sunday
